,repository name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,GCGC,Jupyter Notebook
36,homebrew-apple,Ruby
37,HomeKitADK,C
38,indexstore-db,C++
39,learning-compressible-subspaces,Python
40,learning-subspaces,Python
41,llvm-monorepo-root,
42,llvm-project,
43,llvm-project-v5,C++
44,llvm-project-v5-split,C++
45,MaterialX,
46,ml-afv,Python
47,ml-all-pairs,Python
48,ml-ane-transformers,Python
49,ml-aspanformer,Python
50,ml-autofocusformer,Python
51,ml-autofocusformer-segmentation,Python
52,ml-batchquant,Python
53,ml-calibration,Jupyter Notebook
54,ml-capsules-inverted-attention-routing,Python
55,ml-cifar-10-faster,Python
56,ml-code-switched-speech-translation,Python
57,ml-codeswitching-translations,
58,ml-collegial-ensembles,Python
59,ml-core,Python
60,ml-covid-mobility,R
61,ml-cread,Python
62,ml-cvnets,Python
63,ml-cvpr2019-swd,Python
64,ml-dab,Python
65,ml-data-parameters,Python
66,ml-destseg,Python
67,ml-dms-dataset,Python
68,ml-dprecs,Jupyter Notebook
69,ml-dr,Python
70,ml-duet,Python
71,ml-entropy-reconstruction,Python
72,ml-envmapnet,Python
73,ml-equivariant-neural-rendering,Jupyter Notebook
74,ml-facelit,Python
75,ml-fastvit,Python
76,ml-fct,Python
77,ml-ferret,
78,ml-finerecon,Python
79,ml-flair,Jupyter Notebook
80,ml-gaudi,
81,ml-gmpi,Python
82,ml-gsn,Python
83,ml-heart-rate-models,Python
84,ml-hierarchical-confusion-matrix,TypeScript
85,ml-hypersim,Python
86,ml-interspeech2022-phi_rtn,
87,ml-knowledge-conflicts,Python
88,ml-live-pose,
89,ml-mkqa,Python
90,ml-mobileone,Swift
91,ml-multiple-futures-prediction,Python
92,ml-ncg,Python
93,ml-neilf,Python
94,ml-neilfpp,Python
95,ml-neuman,Python
96,ml-no-token-left-behind,Jupyter Notebook
97,ml-nvas3d,Python
98,ml-pointconvformer,Python
99,ml-pointersect,Python
100,ml-probabilistic-attention,Python
101,ml-projunit,Python
102,ml-qrecc,Python
103,ml-quant,Python
104,ml-robust-expert-augmentations,Python
105,ml-sad,Python
106,ml-selfcond,Python
107,ml-shuffling-amplification,Python
108,ml-spatial-librispeech,
109,ml-spin,Python
110,ml-stable-diffusion,Python
111,ml-stuttering-events-dataset,Python
112,ml-symphony,Svelte
113,ml-tract,Python
114,ml-transcript-translation-consistency-ratings,
115,ml-translate-vis,TypeScript
116,ml-tree-dst,Python
117,ml-tune-mode-convbn,Python
118,ml-upscale,Jupyter Notebook
119,ml-uwac,Python
120,ml-vfi-smiff,Python
121,openjdk,Java
122,password-manager-resources,JavaScript
123,sample-backyard-birds,Swift
124,sample-cloudkit-coredatasync,Swift
125,sample-cloudkit-encryption,Swift
126,sample-cloudkit-privatedb,Swift
127,sample-cloudkit-privatedb-sync,Swift
128,sample-cloudkit-queries,Swift
129,sample-cloudkit-sharing,Swift
130,sample-cloudkit-sync-engine,Swift
131,sample-cloudkit-tooling,JavaScript
132,sample-cloudkit-zonesharing,Swift
133,sample-food-truck,Swift
134,servicetalk,Java
135,sourcekit-lsp,Swift
136,swift,C++
137,swift-3-api-guidelines-review,Swift
138,swift-algorithms,Swift
139,swift-argument-parser,Swift
140,swift-asn1,Swift
141,swift-async-algorithms,Swift
142,swift-async-dns-resolver,Swift
143,swift-atomics,Swift
144,swift-book,Markdown
145,swift-cassandra-client,Swift
146,swift-certificates,Swift
147,swift-clang,C++
148,swift-clang-tools-extra,C++
149,swift-cluster-membership,Swift
150,swift-cmake-examples,CMake
151,swift-cmark,C
152,swift-collections,Swift
153,swift-collections-benchmark,Swift
154,swift-community-hosted-continuous-integration,
155,swift-compiler-rt,C
156,swift-corelibs-foundation,Swift
157,swift-corelibs-libdispatch,C
158,swift-corelibs-xctest,Swift
159,swift-crypto,C
160,swift-distributed-actors,Swift
161,swift-distributed-tracing,Swift
162,swift-distributed-tracing-baggage-core,Swift
163,swift-distributed-tracing-extras,Swift
164,swift-docc,Swift
165,swift-docc-plugin,Swift
166,swift-docc-render,JavaScript
167,swift-docc-render-artifact,
168,swift-docc-symbolkit,Swift
169,swift-docker,Dockerfile
170,swift-driver,Swift
171,swift-evolution,Markdown
172,swift-evolution-staging,Swift
173,swift-experimental-string-processing,Swift
174,swift-format,Swift
175,swift-foundation,Swift
176,swift-foundation-icu,C
177,swift-getting-started-cli,Swift
178,swift-getting-started-package-library,Swift
179,swift-http-structured-headers,Swift
180,swift-http-types,Swift
181,swift-installer-scripts,CMake
182,swift-integration-tests,Python
183,swift-internals,HTML
184,swift-issues,
185,swift-libcxx,C++
186,swift-llbuild,C++
187,swift-llbuild2,Swift
188,swift-lldb,C++
189,swift-llvm,LLVM
190,swift-llvm-bindings,Swift
191,swift-lmdb,C
192,swift-log,Swift
193,swift-markdown,Swift
194,swift-metrics,Swift
195,swift-metrics-extras,Swift
196,swift-nio,Swift
197,swift-nio-examples,Swift
198,swift-nio-extras,Swift
199,swift-nio-http2,Swift
200,swift-nio-imap,Swift
201,swift-nio-nghttp2-support,Swift
202,swift-nio-ssh,Swift
203,swift-nio-ssl,C
204,swift-nio-ssl-support,Swift
205,swift-nio-transport-services,Swift
206,swift-nio-zlib-support,Swift
207,swift-numerics,Swift
208,swift-openapi-generator,Swift
209,swift-openapi-runtime,Swift
210,swift-openapi-urlsession,Swift
211,swift-org-website,SCSS
212,swift-package-collection-generator,Swift
213,swift-package-manager,Swift
214,swift-package-registry-compatibility-test-suite,Swift
215,swift-protobuf,Swift
216,swift-protobuf-plugin,
217,swift-protobuf-test-conformance,
218,swift-sample-distributed-actors-transport,Swift
219,swift-sdk-generator,Swift
220,swift-se0270-range-set,Swift
221,swift-se0288-is-power,Swift
222,swift-service-context,Swift
223,swift-service-discovery,Swift
224,swift-source-compat-suite,Python
225,swift-standard-library-preview,Swift
226,swift-statsd-client,Swift
227,swift-stress-tester,Swift
228,swift-syntax,Swift
229,swift-system,Swift
230,swift-testing,Swift
231,swift-tools-support-async,Swift
232,swift-tools-support-core,Swift
233,swift-xcode-playground-support,Swift
234,swiftpm-on-llbuild2,Swift
235,tensorflow_macos,Shell
236,turicreate,C++
237,unityplugins,C#
238,VideoFlashingReduction,Mathematica
239,vqg-multimodal-assistant,Python
